courseNumber,courseName,Day,startTime,Duration,isMeeting,isLab,isTutorial
CS1.404,Optimization Methods,M,10:30,1,0,0,1
CS7.505,Computer Vision,M,18:30,1,0,0,1
CS1.502,"Information-Theoretic Methods in
Computer Science",M,19:00,1,0,0,1
CE1.603,Advanced Structural Analysis,T,10:30,1,0,0,1
CS1.403,Compilers,T,18:30,1,0,0,1
EC5.203,Communication Theory,W,09:00,1,0,0,1
SC1.111,Science II,W,10:00,3,0,1,0
EC2.103,Analog Electronic Circuits,W,10:00,3,0,1,0
CE5.501,Design of Hydraulic Structures,W,12:00,1,0,0,1
SC3.303,Advanced BioInformatics,W,12:00,1,0,0,1
SC2.202,Organic Chemistry,W,12:00,1,0,0,1
CS7.302,Computer Graphics,W,12:00,1,0,0,1
CS2.201,Computer Systems Organization,Th,15:30,1.5,0,0,1
CS7.602,Topics in Deep Learning,Th,20:00,1,0,0,1
CE1.601,Earthquake Engineering,S,12:00,1,0,1,0
,Meeting-DASS1,S,17:00,0.5,1,0,0
,Meeting-Honors,T,08:00,1,1,0,0
,Meeting-DASS2,F,20:00,2.25,1,0,0